zip_code,state_code,state_name,city,time_zone
E8A,NB,New Brunswick,Saint-Quentin,
E8B,NB,New Brunswick,Kedgwick,
E8C,NB,New Brunswick,Dalhousie,
E8E,NB,New Brunswick,Balmoral,
E8G,NB,New Brunswick,Belledune,
E8J,NB,New Brunswick,Petit-Rocher,
E8K,NB,New Brunswick,Beresford,
E8L,NB,New Brunswick,Allardville,
E8M,NB,New Brunswick,Saint-Isidore,
E8N,NB,New Brunswick,Grande-Anse,
E8P,NB,New Brunswick,Inkerman,
E8R,NB,New Brunswick,Paquetville,
E8S,NB,New Brunswick,Shippagan,
E8T,NB,New Brunswick,Lamèque,
E9A,NB,New Brunswick,Baie-Sainte-Anne,
E9B,NB,New Brunswick,Blackville,
E9C,NB,New Brunswick,Doaktown,
E9E,NB,New Brunswick,Red Bank,
E9G,NB,New Brunswick,Neguac,
E9H,NB,New Brunswick,Brantville,
A0A,NL,Newfoundland and Labrador,Southeastern Avalon Peninsula,
A0B,NL,Newfoundland and Labrador,Western,
A0C,NL,Newfoundland and Labrador,Bonavista Peninsula,
A0E,NL,Newfoundland and Labrador,Burin Peninsula,
A0G,NL,Newfoundland and Labrador,Northeast Newfoundland,
A0H,NL,Newfoundland and Labrador,Central Newfoundland,
A0J,NL,Newfoundland and Labrador,Northern Newfoundland,
A0K,NL,Newfoundland and Labrador,Northwest Newfoundland/Eastern Labrador,
A0L,NL,Newfoundland and Labrador,Western,
A0M,NL,Newfoundland and Labrador,Southwestern Newfoundland,
A0N,NL,Newfoundland and Labrador,Port au Port Peninsula region,
A0P,NL,Newfoundland and Labrador,Central Labrador,
A0R,NL,Newfoundland and Labrador,North/Western Labrador,
A1A,NL,Newfoundland and Labrador,St. John's,
A1B,NL,Newfoundland and Labrador,St. John's,
A1C,NL,Newfoundland and Labrador,St. John's,
A1E,NL,Newfoundland and Labrador,St. John's,
A1G,NL,Newfoundland and Labrador,St. John's,
A1H,NL,Newfoundland and Labrador,St. John's,
A1K,NL,Newfoundland and Labrador,Torbay,
A1L,NL,Newfoundland and Labrador,Paradise,
A1M,NL,Newfoundland and Labrador,Portugal Cove-St. Philips,
A1N,NL,Newfoundland and Labrador,Mount Pearl,
A1S,NL,Newfoundland and Labrador,Goulds,
A1V,NL,Newfoundland and Labrador,Gander,
A1W,NL,Newfoundland and Labrador,Manuels,
A1X,NL,Newfoundland and Labrador,Conception Bay,
A1Y,NL,Newfoundland and Labrador,Carbonear,
A2A,NL,Newfoundland and Labrador,Grand Falls,
A2B,NL,Newfoundland and Labrador,Windsor,
A2H,NL,Newfoundland and Labrador,Corner Brook,
A2N,NL,Newfoundland and Labrador,Stephenville,
A2V,NL,Newfoundland and Labrador,Labrador City,
A5A,NL,Newfoundland and Labrador,Clarenville,
A8A,NL,Newfoundland and Labrador,Deer Lake,
B0C,NS,Nova Scotia,North Victoria County,
B0E,NS,Nova Scotia,West Cape Breton Island,
B0H,NS,Nova Scotia,Canso region,
B0J,NS,Nova Scotia,Mainland east shore,
B0K,NS,Nova Scotia,Southern Northumberland Strait,
B0L,NS,Nova Scotia,Isthmus of Chignecto,
B0M,NS,Nova Scotia,Cobequid Bay north shore,
B0N,NS,Nova Scotia,Hants County,
B0P,NS,Nova Scotia,Kings County,
B0R,NS,Nova Scotia,West Lunenburg County,
B0S,NS,Nova Scotia,West Annapolis County,
B0T,NS,Nova Scotia,Queens County,
B0V,NS,Nova Scotia,Digby Neck,
B0W,NS,Nova Scotia,Southwest Mainland,
B1A,NS,Nova Scotia,Glace Bay,
B1B,NS,Nova Scotia,Port Morien,
B1C,NS,Nova Scotia,Louisbourg,
B1E,NS,Nova Scotia,Reserve Mines,
B1G,NS,Nova Scotia,Dominion,
B1H,NS,Nova Scotia,New Waterford,
B1J,NS,Nova Scotia,East Bay,
B1K,NS,Nova Scotia,Marion Bridge,
B1L,NS,Nova Scotia,Sydney,
B1M,NS,Nova Scotia,Sydney,
B1N,NS,Nova Scotia,Sydney,
B1P,NS,Nova Scotia,Sydney,
B1R,NS,Nova Scotia,Sydney,
B1S,NS,Nova Scotia,Sydney,
B1T,NS,Nova Scotia,Christmas Island,
B1V,NS,Nova Scotia,North Sydney North,
B1W,NS,Nova Scotia,Eskasoni,
B1X,NS,Nova Scotia,Big Bras d'Or,
B1Y,NS,Nova Scotia,Alder Point,
B2A,NS,Nova Scotia,North Sydney South Central,
B2C,NS,Nova Scotia,Iona,
B2E,NS,Nova Scotia,Loch Lomond,
B2G,NS,Nova Scotia,Antigonish,
B2H,NS,Nova Scotia,New Glasgow,
B2J,NS,Nova Scotia,Fourchu,
B2N,NS,Nova Scotia,Truro,
B2R,NS,Nova Scotia,Waverley,
B2S,NS,Nova Scotia,Lantz,
B2T,NS,Nova Scotia,Enfield,
B2V,NS,Nova Scotia,Dartmouth,
B2W,NS,Nova Scotia,Dartmouth,
B2X,NS,Nova Scotia,Dartmouth,
B2Y,NS,Nova Scotia,Dartmouth,
B2Z,NS,Nova Scotia,Dartmouth,
